landplot,count
0.0,5638
100.0,46
200.0,41
110.0,38
150.0,33
120.0,32
180.0,32
210.0,30
230.0,28
300.0,28
80.0,28
170.0,28
270.0,27
70.0,26
130.0,26
280.0,25
140.0,25
240.0,23
220.0,23
90.0,22
400.0,22
1000.0,22
105.0,21
250.0,21
60.0,20
600.0,19
190.0,19
450.0,19
260.0,18
320.0,18
350.0,18
98.0,17
155.0,17
175.0,17
800.0,16
50.0,16
145.0,16
160.0,16
360.0,16
500.0,15
370.0,15
330.0,14
290.0,14
265.0,14
115.0,14
75.0,14
1200.0,14
410.0,14
520.0,14
340.0,13
1500.0,13
660.0,13
245.0,13
122.0,13
288.0,12
204.0,12
135.0,12
215.0,12
570.0,12
195.0,12
2000.0,11
85.0,11
165.0,11
124.0,11
188.0,11
125.0,11
261.0,11
185.0,11
325.0,11
95.0,10
430.0,10
55.0,10
196.0,10
248.0,10
205.0,10
480.0,10
92.0,10
88.0,10
264.0,10
490.0,10
166.0,10
112.0,10
246.0,10
650.0,9
149.0,9
700.0,9
276.0,9
380.0,9
310.0,9
198.0,9
1350.0,9
232.0,9
255.0,9
530.0,9
252.0,9
65.0,9
1100.0,9
216.0,9
156.0,9
850.0,9
900.0,8
227.0,8
335.0,8
390.0,8
287.0,8
234.0,8
183.0,8
455.0,8
235.0,8
212.0,8
920.0,8
152.0,8
114.0,8
143.0,8
176.0,8
348.0,8
363.0,8
54.0,8
162.0,8
305.0,8
503.0,8
76.0,8
93.0,8
192.0,8
225.0,8
731.0,7
440.0,7
111.0,7
184.0,7
157.0,7
154.0,7
63.0,7
2500.0,7
415.0,7
275.0,7
108.0,7
505.0,7
209.0,7
620.0,7
730.0,7
1050.0,7
343.0,7
103.0,7
64.0,7
148.0,7
132.0,7
94.0,7
128.0,7
1250.0,7
1400.0,7
45.0,7
422.0,7
267.0,7
167.0,7
315.0,7
532.0,7
545.0,7
314.0,7
590.0,7
347.0,7
81.0,7
550.0,7
141.0,7
161.0,7
930.0,7
178.0,7
595.0,7
575.0,7
775.0,7
580.0,7
470.0,7
151.0,7
56.0,7
147.0,7
464.0,6
385.0,6
289.0,6
1577.0,6
373.0,6
206.0,6
187.0,6
53.0,6
528.0,6
1020.0,6
307.0,6
560.0,6
119.0,6
710.0,6
2529.0,6
366.0,6
405.0,6
6444.0,6
945.0,6
411.0,6
316.0,6
1970.0,6
96.0,6
729.0,6
242.0,6
720.0,6
940.0,6
228.0,6
790.0,6
189.0,6
72.0,6
906.0,6
224.0,6
362.0,6
678.0,6
127.0,6
86.0,6
202.0,6
372.0,6
879.0,6
365.0,6
685.0,6
168.0,6
640.0,6
571.0,6
306.0,6
243.0,6
182.0,6
1.0,6
655.0,6
173.0,6
118.0,6
40.0,6
208.0,6
268.0,6
420.0,6
258.0,6
144.0,6
134.0,6
1670.0,6
424.0,6
123.0,6
382.0,6
223.0,6
99.0,6
146.0,6
395.0,6
163.0,6
955.0,5
654.0,5
846.0,5
211.0,5
262.0,5
453.0,5
616.0,5
830.0,5
1700.0,5
561.0,5
594.0,5
675.0,5
282.0,5
57.0,5
1150.0,5
414.0,5
990.0,5
525.0,5
1494.0,5
417.0,5
244.0,5
283.0,5
425.0,5
597.0,5
840.0,5
101.0,5
139.0,5
233.0,5
304.0,5
406.0,5
872.0,5
79.0,5
477.0,5
249.0,5
82.0,5
294.0,5
842.0,5
1116.0,5
549.0,5
457.0,5
253.0,5
518.0,5
131.0,5
1228.0,5
543.0,5
1750.0,5
770.0,5
515.0,5
849.0,5
1260.0,5
349.0,5
334.0,5
121.0,5
295.0,5
247.0,5
744.0,5
186.0,5
445.0,5
