Zip code,city,subcity,province
Post-code,Gemeente,Deelgemeente,Provincie
1000,Brussel,,Brussels Hoofdstedelijk Gewest
1000,Bruxelles,,Brussels Hoofdstedelijk Gewest
1030,Schaarbeek,,Brussels Hoofdstedelijk Gewest
1030,Schaerbeek,,Brussels Hoofdstedelijk Gewest
1040,Etterbeek,,Brussels Hoofdstedelijk Gewest
1050,Elsene,,Brussels Hoofdstedelijk Gewest
1050,Ixelles,,Brussels Hoofdstedelijk Gewest
1060,Saint-Gilles,,Brussels Hoofdstedelijk Gewest
1060,Sint-Gillis,,Brussels Hoofdstedelijk Gewest
1070,Anderlecht,,Brussels Hoofdstedelijk Gewest
1080,Molenbeek-Saint-Jean,,Brussels Hoofdstedelijk Gewest
1080,Sint-Jans-Molenbeek,,Brussels Hoofdstedelijk Gewest
1081,Koekelberg,,Brussels Hoofdstedelijk Gewest
1082,Berchem-Sainte-Agathe,,Brussels Hoofdstedelijk Gewest
1082,Sint-Agatha-Berchem,,Brussels Hoofdstedelijk Gewest
1083,Ganshoren,,Brussels Hoofdstedelijk Gewest
1090,Jette,,Brussels Hoofdstedelijk Gewest
1140,Evere,,Brussels Hoofdstedelijk Gewest
1150,Sint-Pieters-Woluwe,,Brussels Hoofdstedelijk Gewest
1150,Woluwe-Saint-Pierre,,Brussels Hoofdstedelijk Gewest
1160,Auderghem,,Brussels Hoofdstedelijk Gewest
1160,Oudergem,,Brussels Hoofdstedelijk Gewest
1170,Watermaal-Bosvoorde,,Brussels Hoofdstedelijk Gewest
1170,Watermael-Boitsfort,,Brussels Hoofdstedelijk Gewest
1180,Uccle,,Brussels Hoofdstedelijk Gewest
1180,Ukkel,,Brussels Hoofdstedelijk Gewest
1190,Forest,,Brussels Hoofdstedelijk Gewest
1190,Vorst,,Brussels Hoofdstedelijk Gewest
1200,Sint-Lambrechts-Woluwe,,Brussels Hoofdstedelijk Gewest
1200,Woluwe-Saint-Lambert,,Brussels Hoofdstedelijk Gewest
1210,Saint-Josse-ten-Noode,,Brussels Hoofdstedelijk Gewest
